bench,samples,iter #1,iter #5,iter #10,iter #50,iter #100,iter #200,iter #500,RSD #1,RSD #5,RSD #10,RSD #50,RSD #100,RSD #200,RSD #500
activerecord,6,178.91204716094458,890.050242987248,1773.0839918222046,8818.184599673259,17684.748135182115,35638.127240320806,88786.16634014907,0.8089204454332353,0.5029144236717483,1.0055124626599212,1.3126249958885872,1.179677038786538,1.5343671044980884,1.3825816346432214
railsbench,6,3739.0748680045363,18809.246096507803,37716.9738498366,190021.0271975399,381747.96821706457,767679.4083785425,1941990.686982191,1.9260026901978957,2.298701013022302,2.2900923791075507,2.3776670751049833,2.0562480644993104,1.4676213235128406,0.9896981781537362
