bench,No JIT (ms),No JIT RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,154.39954874892308,0.3702379028216622,156.89003475280623,0.3418671327497622,103.84379707547049,0.6437587834795279,0.984125913364688,0.5039337666205015,1.486844213108947,0.7426314536786226,85.95824289048153
hexapdf,3173.4422442813716,0.8849560979095631,,,2361.8446208536625,2.2129858034497363,,,1.3436287113308776,2.38337018977275,83.00074638018438
liquid-render,196.02083327555204,1.0123841270471432,168.94889832769013,1.6788386337985137,126.35848767866817,2.0065094783051363,1.1602374162591678,1.9604644294226474,1.5513072123341363,2.247443415800575,85.89736305275687
mail,176.544024317991,0.14745537103954026,172.9782090696972,1.6510337978432632,154.90732665057294,0.18257022220719984,1.0206142453865796,1.6576054078305722,1.1396751085649055,0.23468057543221343,99.34267690767113
psych-load,2438.969822227955,0.1030552710023064,2143.6049543321133,0.022576768288460353,1893.9063929021358,0.019097802086757595,1.1377888529782154,0.10549928600568652,1.2877985054428105,0.1048098989881384,88.89415137942703
railsbench,2849.2341664930186,0.40341165143146107,2787.4831154942513,0.5041377021718468,2088.2558348278203,0.8796938221779288,1.0221529775931282,0.6456746729288431,1.3644085743583914,0.967782093907855,86.54287637970785
binarytrees,466.39820456993385,0.08393544656515008,311.660322925595,0.32511847865928956,380.124674468744,1.3112196411050299,1.496495287535464,0.33577847512284364,1.226961141687959,1.3139033854928963,84.26576323008203
chunky_png,1002.3434889172354,1.2292587405342212,780.3367563793736,0.3945276901132491,648.195612334436,0.11697362154725793,1.2845011858315303,1.2910186479853325,1.5463595708513946,1.2348116776730211,99.95455727408047
erubi,369.45690719350694,0.5366159002939047,341.02861006413735,0.643000965805304,317.62666759952424,0.6418035707235185,1.083360446280513,0.8375003680445707,1.1631797480535615,0.8365814053884393,99.9994413219378
erubi_rails,26.922898437098574,2.575834720410527,27.5547109802928,2.89861957298038,19.410716863699335,3.806195390281766,0.9770706162134635,3.8777467601349804,1.387012062776931,4.595872915548747,86.39522721379564
fannkuchredux,5270.6131637096405,0.3172489301016926,2482.550521939993,0.23354912920468543,2374.7033846875033,2.5957598811620755,2.123063807616254,0.39394425925876303,2.219482735273577,2.6150748066357914,77.41553845846549
lee,1292.1888792798632,1.3109416819518398,1054.0629258113247,0.27145130346811197,981.696671495835,2.110262761946057,1.2259124646521935,1.3387508743725458,1.3162812066082732,2.4843061441647887,99.96994463378216
nbody,137.46517852405478,0.11087359379317852,76.02864987720018,0.26105597500544203,94.73359803187437,0.11118729114754311,1.8080707568276635,0.2836250621624555,1.4510710178853632,0.15702091425457715,99.99983620872567
optcarrot,6219.848734140396,0.4321225055937499,2783.455966413021,0.6177347740873469,3570.9728471934795,0.5693165452269339,2.2345777368828936,0.7538740683677653,1.741779901527041,0.7147385455603691,96.15519448430688
rubykon,12583.042544871569,0.37919182601507845,8378.75600606203,0.5415264940432375,6925.636159380277,0.8219152304557718,1.501779325686025,0.6610880309515594,1.8168789487776862,0.9051690930272719,99.61954837885766
30k_ifelse,2395.3522258837306,0.036459171030756424,3946.564260537603,4.092085630603975,361.88830149226953,0.1133086521732363,0.6069462113756219,4.092248047143255,6.619037465445395,0.11902991980827927,99.99633131569891
30k_methods,6277.047385376963,0.056806026981301244,9870.500179854307,18.21560787504622,873.135382309556,0.01962796457719556,0.6359401520693366,18.215696450647922,7.189088327600882,0.06010142839270934,99.9983146950422
cfunc_itself,107.45982463318123,0.23907167008433006,70.56382892161406,0.25940462481010257,46.60299838295639,0.6476357166374729,1.5228740599174846,0.35276907859077,2.3058564547744065,0.6903530146971503,99.99976068112504
fib,238.8331821277028,0.06972141335766331,86.23228436188093,0.21537800466680124,63.410739328653094,0.1532417151570887,2.7696492548593468,0.22638189056292204,3.7664468930073243,0.16835705730641784,99.99995113210011
getivar,108.75327983121207,0.8300938043019073,32.50138901851394,54.68637669160857,44.236979423115,0.1158062898812462,3.346111754462628,54.692676396209116,2.4584246313704137,0.8381329373771635,99.0252482291378
keyword_args,297.18490235881,0.14542431574462195,224.93624288126787,0.3226035611537012,54.91534587103962,0.20552595578091537,1.321196168976995,0.3538662025099901,5.4116913522989325,0.25177202010837163,99.99991144690446
respond_to,269.25872751283197,0.7695190926057195,244.8823397522265,0.5145087240987343,181.3479539639545,0.5462841747725553,1.0995432654934187,0.9256775146121015,1.4847629743115327,0.9437086592225705,99.99981709046693
setivar,83.46672258524531,0.3258471070251864,20.22409103110837,61.587205881661184,49.71328443830098,0.09835003146092627,4.127093892964492,61.588067875581864,1.6789621431839938,0.3403660762253613,99.14042342430237
str_concat,83.46068608344243,1.1301913115183835,53.68614306533208,1.3048363200583162,45.72996090977423,1.524446326266713,1.5546038757501524,1.7262474396143133,1.8250766985808577,1.897700978104749,99.867057213466
