bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,146.48888796186588,2.1803734658009972,152.22007838520602,0.6872888452565278,110.30134393530356,0.9456499508748659,0.9623493136770245,2.2861308814639427,1.3280789039867715,2.3766115122078086,80.96451293549694
hexapdf,2879.4153165072203,0.7767007949610644,2794.0429736860096,1.4009681125340572,2253.2880844548345,1.6571179823271327,1.0305551287597357,1.601866341874499,1.2778726947397285,1.8301104153151788,71.99825640438247
jekyll,8500.327542517334,1.7111905079963705,8322.503598965704,1.9961483131480835,7534.682368952781,2.0172096561393533,1.0213666406312794,2.6292168116648,1.128160037315384,2.645242474987638,78.42016480146293
liquid-render,179.77084778249264,1.707024676383312,166.01994955404237,2.6004703661942754,125.96481344693859,1.9199462245847854,1.0828267823559006,3.1106879257225626,1.427151304107788,2.569071184509865,71.69861800275541
mail,157.62225646748502,0.3611554422618882,153.94314068059126,1.5412820971833547,138.98703218229227,1.0968612390844021,1.0238991862230964,1.5830299291464136,1.1340788704715359,1.1547890851931146,98.29829634254921
psych-load,2250.174227543175,0.8807860441478693,1930.1295202225447,2.3106907660083724,1616.391463112086,0.2400016562663693,1.1658151455471906,2.472867944650909,1.3920973222729403,0.9128991458952369,82.02200722571317
railsbench,3058.4301601164043,0.923186678390741,3085.428132209927,1.2977869843817085,2546.4802597649395,1.552770858134775,0.9912498457469546,1.5926470732678655,1.2010421633500987,1.806480274188106,79.8743556815868
binarytrees,376.32789473388004,0.3027490860176884,255.89830192792064,0.3466879762418974,301.9625684409811,2.5233401413071137,1.4706150525370858,0.4602711830597785,1.2462733267796857,2.5414370890927733,84.26572281356243
fannkuchredux,5417.586845811456,0.07611295092151343,3943.040542770177,0.02738193387141401,5417.566258274019,0.024830215748348896,1.3739617401969038,0.08088851340282625,1.0000038001450202,0.08006073264772354,0.020856891936909316
lee,1119.1144925542176,0.8978881279870966,899.4815939177687,0.5442515704688278,808.4281325961152,1.2382985307425205,1.24417720175887,1.0499585050552989,1.3843091889447134,1.5295706396303694,99.92310179306115
nbody,107.89864127714695,0.05082598663236166,57.808205527548886,1.069397523807228,75.418774078571,0.04174573593714553,1.8664935244483092,1.0706046631890709,1.430660238056091,0.06577223871883099,99.99972827618156
optcarrot,4999.907144997269,0.6268347656149754,4322.523470502347,0.711220059383443,3155.1805099472404,0.4639691998300212,1.156710236304674,0.9480273183052107,1.5846659578538267,0.7798648868711113,96.12698646238215
30k_ifelse,2427.4791222065687,3.799161041945597,2410.9500601887703,1.1329820186309238,319.7570563170989,0.26686899115238993,1.006855829281053,3.964501592530662,7.5916358192867195,3.8085225063107937,99.98613058876983
30k_methods,6240.843754541129,0.1680378647135147,6284.8473562859,0.35355289515989524,753.1215261448832,0.05874225825680788,0.9929984613388009,0.3914541782296126,8.286635739237301,0.17800948537251318,99.99648257534763
cfunc_itself,93.04404516318222,0.28066821086130017,57.26488729244506,0.18433019397296616,38.94982221055894,0.27688733574227553,1.6248009829831185,0.3357860405052518,2.3888182251563355,0.39426037244762363,99.99972588328735
fib,197.96806105169588,0.5964927470152037,62.73771613057143,0.06505728072105295,52.02504054705302,0.14621714304947506,3.1554872134599132,0.6000300384285454,3.805245684962948,0.6141523020906903,99.99993416418417
getivar,90.48544797817912,0.12344750199703264,90.76871417939522,0.14494074569473642,36.279187671783745,0.08472973138241717,0.9968792529036354,0.19038672619658553,2.4941420628487356,0.14972779678284173,86.63359264804205
keyword_args,238.32771871742364,0.07807450935757762,189.08092250543027,0.03328502679224363,45.581549959634984,0.11686264073516979,1.2604535431678943,0.08487356490678857,5.228600583536018,0.1405436082183172,99.99988221897226
respond_to,230.29027469214293,0.48396464667315525,202.0427944306075,0.2134711405356572,169.37920796351696,0.6235469687041824,1.1398093920703376,0.5289534072780572,1.359613599927482,0.7893241421682518,99.99978005916624
setivar,67.480086735109,1.3012607580190843,72.96981825229695,0.10177116688058396,42.04780897125602,0.14269249958677363,0.9247670934549006,1.3052344351757799,1.6048419260380142,1.309061003085312,88.06802703590806
