bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,151.8760456803065,0.41558929399181777,97.24173204774416,0.7628240785262344,1.5618401943492506,0.8686858097494261,90.5350545670177
hexapdf,3223.4807970623174,0.9787747166294057,2323.4645349284015,2.2720109527285004,1.3873595867740027,2.4738701896484465,88.90849360974207
liquid-render,193.33212869241834,0.9368882560960426,114.6134766961702,1.8703331812508626,1.6868184638087897,2.0918665859224044,87.37044342575109
mail,165.0019093585296,0.19751654364242763,156.91855338614758,0.09825043399686335,1.0515130671163553,0.22060356477859328,98.53773943263296
psych-load,2510.7732377946377,0.09386960200158319,1870.2941057582696,0.04523222692060802,1.3424483508045384,0.1041991196322359,99.98765161159236
railsbench,2735.756478458643,0.6409075216974829,2028.8269999126594,1.391870374318957,1.3484424638357124,1.5323399068989894,90.13520230259665
ruby-lsp,87.76440237386105,11.987491989237206,84.46222008802953,24.929420856741505,1.03909656036024,27.661814626747912,64.00403209210441
binarytrees,479.2813500606043,0.11128759796610041,232.43598951849827,2.4879803670710894,2.0619928568439745,2.4904680757625175,99.99995260392222
chunky_png,945.7581950118765,0.05237421002027209,612.8401454770938,0.056178506208194395,1.5432379911658811,0.07680548440724598,99.99565729758042
erubi,346.26466675258393,0.6052961463477374,294.3457511823569,0.8734974993177245,1.176387514892517,1.0627235322969655,99.99958679321388
erubi_rails,25.89833416392495,2.7867527967281633,17.539289467290875,3.9132011072866364,1.4765896994985406,4.804074734654073,87.09874098661525
etanni,469.0235252713873,0.4390691280459059,468.95400434732437,0.45809471034853133,1.0001482467862914,0.6345332637870902,7.027892793702617
fannkuchredux,5358.45751191179,0.024837051242314546,2301.308043549458,0.14564531536924924,2.3284399178682267,0.14774788324514646,99.99999813867429
lee,1294.826266134069,0.21658949587077914,947.7263016714936,1.7484090027278025,1.366244942079163,1.7617732687667804,99.96824010299369
nbody,125.04762441796414,0.0736417546900806,78.07222008705139,0.09799620247671816,1.6016916680290973,0.12258206938085174,99.99989335010105
optcarrot,6422.412432730198,0.4178262043623944,3159.41209991773,0.37241648111118414,2.0327871862291835,0.5597077562935163,96.70403104190763
rubykon,12468.333050608635,0.5131383727807464,6943.820467839639,0.28139444376726463,1.7956012987887318,0.585229717805889,99.89288607634101
30k_ifelse,2327.4073012173176,0.04806621139611594,392.68135473132133,0.09814363224400455,5.926961576288147,0.10928189798874521,99.99997907804902
30k_methods,6379.135706834495,0.006806172964833589,966.0418519750237,0.06576277698948788,6.603374060650348,0.06611404410408085,99.99998351516868
cfunc_itself,101.32157721044308,0.10505219301235519,40.33113335330324,0.24684650034111388,2.5122422502452326,0.26827068044674707,99.99981813190726
fib,239.09879178722943,0.026597070828325044,61.333250505792584,0.17174836245242212,3.898355130626052,0.17379558159439928,99.9999629459663
getivar,113.35244490612001,0.13725492905583672,46.83948519853919,0.06416125567685128,2.4200190165551865,0.151510997225129,99.99994794836148
keyword_args,283.91092029855923,0.054356444943673164,51.56262626158113,0.27614691765799027,5.506137698616388,0.28144580870733077,99.99993364839011
respond_to,258.2789567469711,0.4411079292601706,28.496115964273333,0.5241781274127959,9.063654747572802,0.6850831442344651,99.9998790632809
setivar,84.4953162068466,0.3894921279082551,47.00717319435668,0.1478736774309632,1.7974983489751826,0.4166182211323181,99.9998785395955
str_concat,84.18262783923875,0.9988399080699937,43.411796086508296,1.719850393378838,1.939164822194523,1.9888606129034325,99.87945204666171
