bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,182.13732511065498,0.3494813325827731,108.81865985931888,0.5362761535651699,1.6737692354061584,0.6401010191418888,89.48533622818378
hexapdf,3185.8441564099244,0.7495464058181508,2048.032889685904,1.869964660817047,1.5555629855624635,2.0145936680083953,88.94233340026385
liquid-c,79.8637701872625,1.3723858252065233,59.727620158983925,2.0086332268790748,1.337132970888173,2.43270431687668,92.95244026939777
liquid-render,198.8150542640965,1.3217602926348628,111.85008578403078,2.5898179105628887,1.7775136502620545,2.9076119206418394,87.6046339880479
mail,168.26464903444565,0.12651805099802363,138.07102925754313,0.22859142771963964,1.2186817896503295,0.26126778993064137,99.0219942632262
psych-load,2532.351171784103,0.07108910658142488,1800.6229002494365,0.03238513353695705,1.4063750779984536,0.07811823057873063,99.99188379765539
railsbench,2781.421451068794,0.7513294610782129,1885.1243298190336,1.4739693318271008,1.4754578289994285,1.6544127508729214,93.01351036310619
ruby-lsp,82.72995735363413,8.67289683557119,66.7668545874767,18.573267492929936,1.2390872366953107,20.498424448829933,69.47356518035656
sequel,163.28337529069154,1.502177025363683,145.34742085358306,2.111874935285984,1.123400569007526,2.591631061285472,82.36200173929764
binarytrees,467.64298064415067,0.03720168710038013,238.22916766683406,0.05290612057917103,1.9629963250266407,0.06467629486799915,99.99991693488205
chunky_png,975.8909503652831,0.0484332515445503,634.7918168467004,0.05670536641672779,1.5373401554118595,0.07457397961509794,99.99571544866737
erubi,303.5262346980928,0.8677757493348615,253.510415981394,0.8728537651648781,1.1972929535186028,1.2308161708785699,99.99936335271312
erubi_rails,25.937772683077018,2.4143447182412863,16.430070257118466,3.235206605562812,1.5786769184288338,4.036783645326667,89.02088083862895
etanni,410.470864450445,0.5056821236732847,406.0351459870153,0.4728952747776296,1.0109244692418118,0.6923469875067942,7.02903126589737
fannkuchredux,2158.964884788951,0.12632198145646273,910.7777101342522,0.05333954706076524,2.3704630238158897,0.1371216623285121,90.19670264742415
lee,1250.319472458657,0.09903213014171554,905.8449443518406,0.1056132822393958,1.3802797931971662,0.14478096624136735,99.96815548454693
nbody,133.8063011820795,0.0743070888463157,75.65284651795854,0.05863652082829895,1.7686882561691375,0.09465614099286845,99.9997970147751
optcarrot,8728.115275440117,0.5482859824855802,8437.538320291787,0.21687163831503478,1.034438593831273,0.5896192212738873,18.28304449362071
rubykon,12726.68298574475,0.32553152063263463,6628.518101510902,0.3791728117754788,1.9199891726695044,0.4997427259251685,99.77433905384062
30k_ifelse,2352.4858771397317,0.01745756813878291,423.7983997296938,0.07437858025982419,5.5509550735448485,0.07639986836891381,99.98725297482063
30k_methods,6412.288215418812,0.007834672690146847,957.0389505126514,0.03396103342758398,6.700132959044122,0.034853032689153594,99.99550935262494
cfunc_itself,103.74960624294467,0.22332112495786635,42.93520152260366,0.24849286951882235,2.4164229481565296,0.3340973376938904,99.99979534214496
fib,249.5878988723169,0.02763523342108475,62.15188791177517,0.04116019390327309,4.015773410239892,0.04957688663473008,99.99995594634169
getivar,120.2924641248676,0.21243309356378987,45.818166823848365,0.1386456486105849,2.6254316238216533,0.2536738755168369,95.52521263557733
keyword_args,288.14042176818475,0.10812855393923436,53.92108360905886,0.39680138695240474,5.343743160973429,0.41127013612021723,99.99992056774025
respond_to,275.24760789988113,1.192266664848848,31.134750683560796,0.2564801019715696,8.840527123450272,1.2195416527602252,99.999864984157
setivar,72.21550267452956,0.7086619935805722,14.913319733680005,0.07697898505258256,4.842349253160529,0.7128306848651486,98.43257895762564
setivar_object,109.01543789879462,1.30339294207481,47.4707388607763,1.2177301919589725,2.296476535124481,1.7837320375714691,95.18034065174942
str_concat,80.92904961719695,0.6619576908588066,44.384344140481616,1.3085441472831931,1.8233692799660863,1.4664500570685053,99.61812084758338
