bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,427.97382170009234,0.14811164554724252,337.81101352599245,0.11414635946293268,1.2669031042919576,0.1869931841681751,89.76454075946015
hexapdf,8119.698817655444,0.5347110895359126,6548.902734493216,1.7998732561494266,1.2398563769910356,1.8776207517692762,89.22164849146968
liquid-c,229.83773520006935,1.3454140157776138,191.67017673842125,1.8019736818229182,1.1991314408487068,2.248832591331175,93.09199137334944
liquid-render,561.0155325260137,1.2110079621246381,392.7809519509038,2.0511458505482643,1.4283165457477138,2.381961289473578,87.60103488205277
mail,452.27103262502504,0.07330154834872024,375.44806435165043,0.09795638568039151,1.2046167647875288,0.1223461094023238,99.02744848534593
psych-load,7225.444295505683,0.07981678163688695,5319.037843992312,0.09577979485104292,1.3584118984350895,0.12467753499559718,99.99188414939012
railsbench,7392.212488502264,0.4938935197286739,5601.813427855571,0.6813079970965991,1.3196106196153834,0.841493550621606,93.19394256755794
ruby-lsp,214.48724753447348,6.685788039449497,189.82112290974283,11.01004989197066,1.129944045460415,12.881031027527614,71.76665656271297
sequel,394.7713889048568,1.4422487272946376,385.38179796721255,1.971568856044098,1.02436438614167,2.442778161337217,82.3912107650578
binarytrees,995.9259320093297,0.07895690449203237,533.1107218931804,0.701094123440102,1.8681408778885593,0.7055261601735324,99.99991761669169
chunky_png,2278.732452658005,0.5227342671977213,1565.9947905223817,0.10473600192913674,1.4551341207832944,0.5331235731074352,99.99571960870719
erubi,662.8408921184018,0.6434362364593044,598.0279124574736,0.7538597128031989,1.1083778504494757,0.9911178824825206,99.99935974962604
erubi_rails,63.45185044962776,1.6889361308924473,47.15745127277131,1.9503000681504534,1.345531803290328,2.57995651321134,91.95716647080751
etanni,947.9433199656861,0.600779583536493,943.441558553248,0.44992622006265814,1.0047716378101272,0.7505795837179116,7.029040001557339
fannkuchredux,5835.5599596448565,0.7498676047600138,2024.3304017121377,0.7235404431360677,2.8827112188352544,1.0420231271531633,90.57206096241684
lee,3044.832450083711,0.2371648509318527,2301.142749376595,0.13477589768998877,1.3231827755616594,0.27278509694569136,99.96816078550128
nbody,286.1709081578058,1.1338726354518402,177.11761482605786,0.06182668977613909,1.6157111670617632,1.1355569968060506,99.99980012403825
optcarrot,15476.147876804074,0.8267768931362798,10135.54687773188,0.6376629066396383,1.5269178923937163,1.0441139849308558,96.78476142068278
rubykon,33028.75128053129,0.39520634837718,20787.861133863527,0.3509574251742519,1.5888479852661364,0.5285443898884611,99.77402600153938
30k_ifelse,6760.407896474638,0.13270771745999901,1929.9515448906955,0.06707455763489646,3.502889963414869,0.1486954422817323,99.98725297492729
30k_methods,16241.250461060554,0.11223261348469488,3878.6785720847547,0.05649957396807642,4.187315385696173,0.1256517464589293,99.99550935266303
cfunc_itself,278.89693752569355,0.05108683528510425,103.54488940881585,0.08107081132822377,2.693488197418927,0.09582453333496505,99.9997952925327
fib,542.0875922944513,1.5823758503268657,191.0951637217532,0.006448199822979893,2.8367415571215893,1.5823889885166125,99.99995596402391
getivar,229.5181316178326,0.6225553580597543,107.46909365263006,0.008354961274888996,2.1356663931650797,0.6226114191265799,95.52521265168815
keyword_args,706.5397633353263,0.2092499331291158,191.047819869825,0.005645297669692545,3.698235152940997,0.20932607076119036,99.99992046471024
respond_to,681.1025954647004,0.9441070746947148,99.98997480873643,1.3982642725019316,6.81170884148668,1.6871517845896282,99.99986490015124
setivar,180.80562150618374,0.19599268485465474,50.03840593922547,0.013863582388044202,3.613336958131372,0.1964823947155727,98.43257896101413
setivar_object,290.3982169722647,0.37587747555095263,127.52201247544441,0.9248170530435219,2.277239915957127,0.9982837563672272,95.18034068378887
str_concat,165.34488700122472,1.6541287269821874,106.54805039994389,0.6943515502942426,1.5518339977181956,1.7939525971506967,99.96948810100865
