bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,151.10027918599667,1.3717888245525944,154.40430264376724,0.9369753866404471,115.92548812790974,2.1497209228229353,0.9786014806504879,1.6612427439532742,1.3034258610951528,2.5501185512030773,79.62204971746642
jekyll,8443.572785938159,1.863605524185581,8430.117494123988,2.0678758342991483,7576.473727100529,2.785763415722342,1.001596097779604,2.7837270009563464,1.114446256935608,3.351641889902921,73.67973410343181
liquid-render,186.95065337090696,2.0835305324690596,170.10085890931938,2.9475579678497077,147.40040405867768,2.5300253219290143,1.0990576683129518,3.609597962871364,1.2683184592661292,3.277518513957292,66.98481256040566
mail,154.92172147530843,1.292787262899994,150.41747795929368,1.4756942172477252,151.20148519817434,2.308831185681329,1.0299449477356195,1.9618797949759392,1.0246044955990883,2.646129314884499,87.58598377516509
psych-load,2203.586100973189,1.4334640683981894,1834.551698435098,0.9465587692670632,1657.5371599756181,0.5736834665988813,1.2011578102993137,1.7177871634940884,1.3294339060281477,1.5439986901670606,81.97129544588203
railsbench,3180.678718397394,1.3400927966782352,3096.0264659952372,0.9328084948349102,2702.9891144949943,1.382629211949478,1.0273422250526352,1.632783020411795,1.1767264253269654,1.9254901301863192,76.92810498230949
binarytrees,392.014909575398,0.27581900378249175,253.89025234819755,3.7585554132297716,308.66950887932694,0.34148998276030346,1.544032927415305,3.768662218502261,1.2700150105485626,0.43896643513279987,82.9482272020225
fannkuchredux,5599.618183984421,0.06249782423152294,3968.1097101652995,0.20088619213512002,5554.648218653165,0.30139747476987494,1.4111550821388852,0.21038355502325432,1.0080959159898266,0.30780905742250625,5.07715761499998e-06
lee,1125.6767708575353,1.3895599112496497,876.1323881335557,1.0965889230051997,804.6869585135331,1.6629074339363152,1.2848249717780547,1.77013672155849,1.3989002293972232,2.1670574244336014,99.81909127294509
nbody,113.21403591023635,0.035413495158736805,69.84085505811204,0.40797121585636825,110.82730190665053,0.03373470629749712,1.6210287777266623,0.40950534624920504,1.0215356140817733,0.04890957010991066,7.401762353955244
optcarrot,5334.485956584103,0.6542071596215397,2768.012670078315,0.2852962796693764,3168.293079105206,0.3979020340439694,1.9271898623329553,0.7137093069963918,1.6837097526629945,0.7657108046752449,96.1942553950635
30k_ifelse,2243.0627804715186,1.063840330807612,2219.620888796635,1.0828258574733431,338.9455460496627,0.18885724231207093,1.0105612142114921,1.5179815832432653,6.617767386572657,1.080473649575301,99.98460579303213
30k_methods,6024.814502988011,1.1391677389822656,5847.401874884963,1.5556602693120571,718.8482076550523,0.027506342494250696,1.0303404198820416,1.9281550796173084,8.3812054322866,1.1394997746447246,99.99645530641169
cfunc_itself,94.75820159913032,0.09793989873623955,57.286614723663405,0.1537377919766214,41.58511572819345,0.31221166011068335,1.65410719513137,0.18228420789062275,2.2786566765494682,0.3272129955755635,99.99972454293138
fib,199.3260219601075,0.04997644686386381,62.399607848726795,0.0199157360864931,58.346870940531026,0.05348434639855499,3.1943473497994836,0.05379852958030959,3.416224704890634,0.07319986715027033,99.9999250328971
getivar,93.20830410777977,0.22016786064604202,90.2923790151517,0.1823019689057749,36.278010986279696,0.03742138582008125,1.0322942547802263,0.2858459283047025,2.5692782369747627,0.22332542841815026,86.56708272968297
respond_to,232.18246007507497,0.341097828330606,211.30291971049326,0.545618883981651,162.96321000961538,0.37208625816121527,1.098813307422296,0.64346537983736,1.4247538451247703,0.5047731292415139,99.99978051792631
setivar,68.51520641964484,0.16692551670778874,72.97398028719537,0.09368503263536619,44.7361439565416,0.18163321291287587,0.9388991274697824,0.1914184251007512,1.5315402795154434,0.24668755980230614,88.60742972159115
