bench,No JIT (ms),No JIT RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,154.79419090623796,0.37467886388976646,173.2518527573547,3.049161118584023,111.0231074395293,0.49618681306134554,0.8934634085733713,3.0720950145023664,1.3942520118214972,0.6217600859670077,81.84067295987086
hexapdf,3212.3828473190465,1.1182923379775656,,,2391.1443107761443,2.4415612828399267,,,1.3434500096216841,2.685479333571993,80.45578305599584
liquid-render,192.95003627522442,1.135883119949924,184.328908023114,1.4947534403720826,127.70600127689063,1.8699828229732403,1.0467703538450375,1.8773700513461247,1.5108924744802905,2.187936521108906,84.98757567622557
mail,180.56009436071278,0.44096954884915696,177.48332714977403,1.7250394820362174,161.16075126844788,0.38898460707422905,1.0173355281329741,1.7805098588876194,1.1203726275757497,0.5880162987136678,99.0288808686897
psych-load,2563.6383639959,1.126656734042513,2231.9571771658957,0.07530296029539683,1939.2083640831213,0.11206015991116809,1.1486055333961056,1.1291704619731213,1.3220025302479632,1.1322159139504526,82.02557110780324
railsbench,2862.0550102864704,1.0128578612377468,3163.8273620357118,1.2422395428422721,2184.079457540065,1.496055187591724,0.9046179461716676,1.6028225506499714,1.3104170731544773,1.8066715726415832,81.8050603845664
binarytrees,445.6899944233937,0.09504001949075487,291.2232459090866,0.29464106197661266,336.6170711680383,0.18142715389444877,1.53040665772446,0.30958998806083693,1.3240267134310206,0.20481312818040515,84.26576427028822
discourse,579.1839466512422,13.251713605091911,570.450139725033,1.7836908002092224,614.3026703092105,14.805006661941116,1.015310377398486,13.371217833171706,0.9428315627534368,19.869477490148018,70.85601583173344
erubi,462.8030495183106,0.6781268691762644,429.4878739784373,0.5934267118826708,423.3960734997341,0.723269570513475,1.0775695370192127,0.9011167033601589,1.0930735509492184,0.9914509177612117,99.99942231385475
erubi_rails,27.294440467627588,2.4589837473291234,29.319449420354488,4.314023802279338,20.717366300276698,3.3286680322724065,0.9309329133813449,4.965622059345782,1.317466712323518,4.138433512659232,83.82260813471942
fannkuchredux,6700.493523105979,0.06741240842307687,3738.606101522843,0.09772346134663712,7041.9503732894855,2.9646788831763686,1.7922437778017517,0.11871944957321612,0.9515110399700243,2.9654452133130498,0.014050148140959394
lee,1242.4942360126547,1.074926672828423,1011.1126452462659,2.522055831751264,899.0640836280016,1.8383945402930397,1.228838588711383,2.7415749069519406,1.3819862884509926,2.12959194160225,99.942832330797
nbody,131.5626163907926,0.13263835143511749,70.39355740285623,0.07166456049564482,85.50832910351717,0.5041437173819425,1.868958200789188,0.1507605435863763,1.538594167025784,0.5213001247334491,99.99983459263396
optcarrot,6306.230623461306,0.4057655813009,2575.0356757392487,0.5911061551997305,3637.2558078728616,0.549665323184518,2.448987671462414,0.7169743326531747,1.7337880414711093,0.6832112956326161,96.12826837230394
rubykon,11974.508015997708,0.42404492829172596,8016.255270068844,0.3714737946398169,6384.576662195225,0.4030663063063873,1.4937782808274855,0.5637436308412184,1.8755367269535586,0.5850440568789751,99.62153599703343
30k_ifelse,2342.866261323382,0.009204157745843494,3761.735223624523,3.8072025348586056,360.55348309621746,0.17966786694671494,0.6228153025257247,3.807213660664923,6.4979715109232865,0.17990347115326272,99.99633131568966
30k_methods,6560.692390511659,0.008177887744156538,10281.234378841791,16.73407329574028,884.7682623361999,0.05832243886121681,0.6381230257733643,16.734075293993868,7.415153402076583,0.058892993833531665,99.99831469503668
cfunc_itself,107.31741612954706,0.23719629851656893,68.40932533504264,1.3980586682288616,44.33150831279562,0.9048067764303046,1.568754195483547,1.4180374197600778,2.420793250983782,0.9353808778803213,99.99976080757158
fib,248.16335792129394,0.07560074605982382,86.08585429174127,0.02738788263275031,62.787708998075686,0.6484321987300451,2.8827425825418302,0.08040876146233862,3.9524193808202117,0.6528244704012577,99.99995116528333
getivar,119.07740417036655,0.05351379193299427,25.157441518725133,64.5859052171735,42.56200165736257,0.6958604211654612,4.733287527737473,64.5859273870682,2.7977397569075086,0.6979150748276046,99.23630500275549
keyword_args,290.6136096235877,0.10514784432724085,230.91217150009933,0.25241276462857315,53.089316572166155,0.7171581643670418,1.258546085880374,0.273437877614103,5.474050682655643,0.7248254285584707,99.99991143455048
respond_to,276.560779628983,0.136630799598976,229.31827424441045,0.4736565922841786,194.0950786229223,0.2746526056247898,1.2060128244913482,0.4929691093905542,1.4248727046102532,0.30676054044733636,99.99981620270856
setivar,76.10732462505368,0.3075986006496713,10.490988343038032,93.92402695294523,52.52165997736767,0.6539612201402146,7.254542864453717,93.92453064006602,1.4490654837994346,0.7226909274156651,99.56014801750858
