bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,425.2680160368428,0.23145799199373224,335.4268945125944,0.22662187236820946,1.2678411391394113,0.3239294291870432,89.76441723066351
hexapdf,8075.825385500987,0.7436830004062571,6403.430588667591,1.7408880488961125,1.2611716912795308,1.893080981860672,89.49559095192971
liquid-c,230.28663016174394,1.2867536477331443,191.73194642747399,1.7786176193661725,1.2010863836343202,2.1952711873193125,93.09250546701477
liquid-render,550.650137656713,1.2223012641730977,380.0300876944434,2.0635846402747333,1.4489645832975564,2.398416550138227,87.60102379560377
mail,452.21013034268327,0.09440429509575565,379.52457855622106,0.21017025434542488,1.191517376985098,0.23039901636974736,99.01361472247333
psych-load,7378.239686166246,0.11708751269998849,5165.19726763169,0.0682125379393975,1.428452642535619,0.1355080660418549,99.99188890595585
railsbench,7454.2885310947895,0.4521276242938512,5642.448219160239,0.692917030563721,1.3211088948556102,0.8273774228819919,93.32567840761364
ruby-lsp,220.31552934699653,6.49429992555976,193.2900804953957,10.780817700686832,1.1398180847270358,12.58578411615931,71.84653967488052
sequel,394.52831001709336,1.3368300340406365,388.12564233776885,2.0189715055466455,1.016496378958009,2.4214376886722437,82.38974794006127
binarytrees,996.5203499074938,0.48733515520096243,535.082304763586,0.10352379425460953,1.8623683516272955,0.4982095236661147,99.99991726809077
chunky_png,2288.1324001355097,0.3258297867667072,1541.1869788076729,0.1386573660632125,1.4846559383117195,0.3541057964902941,99.99572031263867
erubi,637.9739553787006,0.7654897530963888,567.5207280721038,0.9337511547334655,1.1241421217264256,1.2074211282985117,99.99936027568565
erubi_rails,62.629344294401115,1.7897153897720268,47.92069415517223,2.0520364939726483,1.3069373346638247,2.722854191649343,92.06551361054413
etanni,912.3915215022862,0.4954100467023913,913.182181189768,0.4652206605711663,0.9991341709203615,0.6796038385676894,7.029041527790365
fannkuchredux,5595.042722218711,1.1692402479693507,2064.623842096847,0.10567348854898669,2.7099574305682457,1.1740058107409612,90.57206095947059
lee,3083.703588440337,0.3780540138579603,2324.753895317289,0.1646198844588215,1.3264645322895414,0.412340325160359,99.96812477495244
nbody,286.46207322825245,1.2745684856147237,175.922207443961,0.062130895819138623,1.6283451497702657,1.2760819224240656,99.99979841985684
optcarrot,15661.415869990984,0.6454637534700174,9360.754221926132,0.7708931748790098,1.6730933746029264,1.0054351018930276,96.78476142005148
rubykon,32203.95407353838,0.5482355116905522,20991.188583523035,1.107186241259454,1.5341653449208097,1.2354851472651702,99.77396352512837
30k_ifelse,6542.102653612482,0.09032688819895666,1927.0275723030593,0.041668584434651275,3.3949190699922274,0.09947470864744706,99.98725297491205
30k_methods,18345.470056589693,0.15775943402548104,3884.052092116326,0.045185807675744705,4.72328115625084,0.16410300496745783,99.99550935265759
cfunc_itself,271.9131298798221,0.10763297013312881,103.38725714357037,0.015139122865700474,2.630044914550984,0.10869245282365181,99.9997954898023
fib,547.8629829112522,1.3695983604650352,191.0970482998455,0.006505405627505152,2.8669358725604925,1.3696138102731337,99.99995594634181
getivar,227.9573178106765,0.8190542241044328,107.47334721643443,0.007575360226017914,2.1210590691997924,0.8190892552743374,95.5252126493866
keyword_args,706.5263450233721,0.2768022900161665,191.0945156691816,0.010398240974881855,3.69726123509737,0.27699752918314213,99.99992060174982
respond_to,695.7881129945885,1.119646845761637,99.82302125096757,0.753510987220652,6.970216932678185,1.3495880360636816,99.99986487900244
setivar,182.5833819726014,0.5460471979116239,50.039285500822096,0.011432171559281473,3.6488007401624816,0.5461668581062906,98.43257896053007
setivar_object,290.1817525051675,0.49371073769239177,127.50806035649664,0.9410728179479044,2.275791441684984,1.0627174324312063,95.21273250700283
str_concat,165.36042260714865,0.7284322964208609,106.4574396674546,0.6404299494580646,1.5533007662375846,0.9699299617146736,99.9663369026989
