bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,151.89084762289207,0.36888063583056097,113.43740974077765,0.4266934945328964,1.338983744163293,0.5640392377906468,85.36187929092428
hexapdf,3190.4306078950563,0.9580761238938955,2395.6644820670285,1.9172860402801974,1.3317518508026998,2.1433374954562967,86.30111831591448
liquid-render,190.25806252632225,0.9815840660905039,114.91643308460364,1.8658652782513818,1.6556210232025796,2.108307500196988,85.52341933944928
mail,175.35290315516235,1.6804176934132589,155.51383747148884,0.14606816578699552,1.1275710638116734,1.6867541413592897,98.27479474644046
psych-load,2488.226085652908,0.022824647914039344,2026.5763372182846,0.02653092975698201,1.2277978578730926,0.03499792545522912,80.02041996810911
railsbench,2833.4292843937874,0.5728117665868812,2173.3712720374265,1.0038531164332727,1.3037023728290977,1.1557830243229812,84.8443048705851
binarytrees,470.37294613463536,0.12021863073244868,235.56173184797876,0.08966602456904282,1.9968139240808158,0.14997504838205936,99.9999355480759
chunky_png,964.7654655935436,0.11497692951792075,645.2908896166703,0.18898666497618327,1.4950861404019737,0.2212140453501745,99.95086550562898
erubi,345.0240294879942,0.651990102803519,298.1746932352657,0.8923575655089968,1.1571204307931104,1.1051665570740399,99.99959152385463
erubi_rails,26.854777080692344,2.5100327570922865,20.18047175091556,3.91227232475057,1.33073088737254,4.648240439637942,84.78094695223267
fannkuchredux,5326.408922920625,0.06784163733460957,2390.243803461393,0.05079325452086687,2.2283956620689787,0.08474929180271806,99.9999976874956
lee,1250.3453224897385,0.769843007201547,961.3443663343787,1.0103019191951912,1.3006216775964736,1.2701843266497221,99.97053515119302
nbody,123.14617006776442,0.11670889124769948,91.91570412509769,0.07419686281816383,1.3397729064900805,0.138297287566766,99.9998541789958
optcarrot,6317.324076592922,0.43300964528474756,3571.1089792350926,0.583716393384974,1.7690090426604819,0.726788952045905,96.17859145790898
rubykon,13003.928217540184,0.5479290916619759,7168.150062610705,0.3540916109759394,1.8141261139842872,0.6523857436004055,99.89325631669745
30k_ifelse,2347.2415848889136,0.03082528407674825,349.21394247900355,0.09673273571595842,6.721500201928625,0.10152546625111201,99.99997153661303
30k_methods,6606.610808819532,0.007882815228742734,832.513891607523,0.030180521395274655,7.935736418839395,0.031192990360353876,99.99997877105137
cfunc_itself,106.43367863599664,0.13928428213404706,41.918565980463384,0.23551071757032246,2.539058198832499,0.27361544060978177,99.99974696511144
fib,257.77423615082387,0.08693247335535631,61.59505288536175,0.04251903169491378,4.184982787994078,0.09677356550191182,99.99994850772315
getivar,116.79455976159466,0.8578899346332038,42.781520690729074,0.1863274803164771,2.7300235680239506,0.8778912631220622,99.99992777362215
keyword_args,283.1687602243052,0.07462544270649361,53.744195210734446,0.24003815385247723,5.268825016617743,0.2513707859001234,99.99990778615025
respond_to,293.63137721143005,0.19282152178248527,29.896709991359636,0.24518928524484856,9.821528097783723,0.31192615289743364,99.99979194324132
setivar,78.61319966614246,0.25846928455418317,47.494625824750685,0.38788284477681656,1.6552020002476802,0.4661110085914162,99.99983155597593
str_concat,83.91206398061136,0.8883589410334735,42.1311848577324,1.6685338503511065,1.9916853576267475,1.8902874960919576,99.81308716625483
