bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,398.8087153342104,0.5312742087994416,329.04779778339855,0.43240723803870973,1.2120084620555132,0.685002411998482,90.65249944804013
hexapdf,7975.765263009816,0.6244241793965655,6600.130556710064,0.6163398739586228,1.2084253780254701,0.8773712988503813,92.3984553916507
liquid-render,545.5240055304989,0.5640721187030463,404.2035412350185,1.1420834702895009,1.3496269821478668,1.2737864845438787,86.96504136054452
mail,462.8256969451112,0.12704387205764994,417.68149382613126,0.18465295414143523,1.1080828425158147,0.2241358045930179,97.27402864682323
psych-load,7586.647280553977,0.12993278380618126,5290.470556759586,0.03317680764828004,1.4340212650575264,0.13410156178566604,99.98757968353704
railsbench,7593.972081101189,0.4960646957843414,6163.173662995298,0.8371501567117658,1.232152864148002,0.9730881600791087,90.68611800116071
ruby-lsp,219.69153824373817,7.06205690035951,208.18920291691336,12.76155381093194,1.0552494325626258,14.585263224680823,65.58970200208954
binarytrees,981.7782329786992,0.16460601118949078,533.7265434156342,0.21064030570851655,1.8394779969077708,0.2673284072235722,99.99995245271808
chunky_png,2209.5213139691623,0.9063184133123957,1525.082251027925,0.07122168137284479,1.4487882948476494,0.9091125311019937,99.99565919278739
erubi,813.3541437065495,1.228653926319937,712.4667176644185,1.5852942756406119,1.1416030019940528,2.005679039886564,99.99969816662446
erubi_rails,63.444947536196075,2.314648362839435,50.47972770537824,2.6301493693390294,1.2568401300912027,3.5036099595459778,87.69120380972659
etanni,1172.4458311218768,0.5748419411003661,1142.940967809409,0.7319815683792311,1.0258148619600342,0.930720298314674,7.027950473978738
fannkuchredux,5545.070022699379,0.8918992278134522,2632.197127455757,0.07979419296121026,2.1066317430636974,0.8954615267026067,99.99999556309966
lee,3025.7541050457144,0.29591624811633943,2502.393606563353,0.138001013384643,1.2091439560545854,0.32651294858617685,99.96810039385572
nbody,268.1397743692151,1.680969802335715,177.64792074797364,0.06349502966191105,1.509388757494217,1.6821685691857218,99.99989556024946
optcarrot,15992.14533995837,0.6095424726468772,10924.300570134073,0.37986841036949154,1.4639056511937496,0.7182214388036002,96.81313314512073
rubykon,32017.29612145573,0.4517625483150492,21113.818646377575,0.34850388776696567,1.5164142809831715,0.5705649479671854,99.69356867628362
30k_ifelse,6776.889668321237,0.719744523997283,1889.1531428694725,1.7463538259799694,3.5872632633835515,1.8888578203080697,99.99997895427661
30k_methods,16241.582702589221,0.315579089653458,3948.487595352344,0.9905181671533568,4.113368045452831,1.039575106131034,99.99998351650032
cfunc_itself,274.8860829372323,0.0797437814947349,103.16320062322607,0.05123837661304554,2.664574977090665,0.09478629608239958,99.99981796476952
fib,547.6416495288648,1.56363469129737,175.3923706385115,0.03505823571028175,3.122380110008145,1.5640276620698685,99.99996288151807
getivar,233.34627004221218,3.142798229414165,107.90338988211771,0.008219645231634006,2.1625480932261563,3.142808978187593,99.99994790246025
keyword_args,710.0797798655673,0.37200627387478996,154.87084158371127,0.06897417515649355,4.584980443085878,0.3783465404106715,99.99993357964193
respond_to,715.6755836500504,0.7214674434748072,100.27330863903329,2.202047981744488,7.137249118071487,2.317224759469622,99.99987898585205
setivar,180.34443549866623,0.8294249590984412,50.0370992529069,0.01188673755910571,3.604214436714957,0.8295101309238181,99.99990962655417
setivar_object,312.3391950363799,11.984116943531847,151.36171469550945,27.15722709130794,2.06352838737791,29.683902071747863,99.99990849133653
str_concat,165.5658855619436,1.3873669204584294,106.6508467811137,0.9397073837190313,1.5524104173475992,1.6756601502089776,99.81037757725927
