bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,145.0275769205512,0.4344790227117592,157.75458330439554,0.7378972336399424,173.41680249853715,4.184297470712881,106.53982478621843,0.4525621547030344,0.9193240150792519,0.8563085592180223,0.8362948389719882,4.206794188522987,1.3612522567177283,0.6273631524452314,81.84076469071339
hexapdf,2801.885264739394,1.661437628615886,2572.18285339574,1.5033359272628055,,,2236.4265420784554,1.2016516664665065,1.089302520246726,2.24062355249156,,,1.2528402842757453,2.050449151113607,74.8063436805238
jekyll,8461.80330477655,1.453632305732758,8077.8887655586,3.944726195832934,8462.239998579025,4.289098212947496,7478.582603360216,2.699363831281306,1.047526593935637,4.204035161646547,0.9999483950109487,4.528731650316602,1.1314715305778076,3.0658786626185366,82.34390214627409
liquid-render,174.7765319860157,2.8530671387199993,160.38853532689458,2.383996357884048,160.3581264615059,3.9448607213716986,127.53244421499618,4.8831132272506315,1.0897071391655042,3.7179874572742078,1.0899137813759066,4.868461585456453,1.3704475991330858,5.655509427822926,84.86946555945362
mail,170.36870934015556,2.4829657230385775,152.48495660615052,2.408590584921199,161.96288944309134,1.323814113405543,148.85761646433272,3.276800399174576,1.1172820790459779,3.459252431892695,1.0518996661887645,2.8138234821388832,1.1445078416997025,4.11126983276641,98.31951969466807
psych-load,2265.01614091297,0.65035801479076,2007.4463079373043,1.4394896800129902,1980.519910901785,2.126692246030126,1792.1633596221607,1.8778218461548388,1.1283072089934623,1.5795873151764925,1.1436472455768678,2.223912196271975,1.2638446873450757,1.9872544963589707,82.02595981729388
railsbench,2787.5527806580067,0.8615347455137394,3010.7233545432487,2.120962039482302,3011.6582522789636,1.108080041143442,2146.7206994692483,1.4427626182325648,0.9258747657607025,2.2892623464016415,0.9255873499420549,1.403596628418534,1.298516747589566,1.6804184271474498,81.7086469656563
binarytrees,374.9170605750645,0.19996747298516265,234.5829385168412,0.17750988455011701,247.0665152896853,1.0859733653774868,287.3509391704026,1.0717161255088485,1.598228170153766,0.26738876073064033,1.517474191658366,1.1042305649461874,1.3047358107040468,1.0902121096042594,84.26576585801902
erubi,428.558644130826,1.7005724182178963,424.7086424380541,1.2457438765244793,423.52670405060053,4.487278082376876,445.21528009325266,3.5695240651858264,1.0090650420266252,2.1080380346430423,1.011881045591931,4.798709320034227,0.9625874566593091,3.953915603745762,5.623643074707384
erubi_rails,41.37693805672176,8.22032181159494,51.42388060376361,5.030306407783059,48.46239881590009,14.545772892512193,35.2646534174837,17.637856842967963,0.8046249635562017,9.637306327100267,0.8537946752059321,16.707878372992965,1.1733260941735977,19.459385516999642,82.85882699424108
fannkuchredux,5664.456697180867,0.05900642959835745,4000.334366162618,0.18007095056671832,5646.31907530129,0.05473388511304004,5650.655414660771,0.03970621979842196,1.4159958090239801,0.18949223195674125,1.0032122913419677,0.08048327101648753,1.0024424215435768,0.07112202629724852,0.01381460846614953
lee,1030.1755454943136,1.0222089872214382,918.5175897760523,0.9474372182591724,833.1899655361971,1.203243214645464,761.8224953335745,0.09466277525144907,1.1215632198676622,1.393753384246638,1.2364233705471321,1.5788304048081379,1.3522514126381069,1.0265828045387204,99.928425023479
nbody,100.8713522182001,0.12074155221283599,60.59317353776176,0.6005873139236679,58.22763164085132,0.06809444024947404,73.34699427964215,0.03616341486396272,1.6647312944474995,0.612603986337676,1.732362271582257,0.13861953406231817,1.3752622477428156,0.1260409259145143,99.99984132037243
optcarrot,5416.256145760417,0.510626081183515,2219.327058518926,0.5893554041709336,2196.1428285886846,0.6622144547320147,3143.412539859613,0.8337532418202159,2.440494799975525,0.7797940671807643,2.466258603608712,0.836221847861471,1.7230497356234098,0.977692928802573,96.12952232767728
rubykon,10753.265398244062,0.9032618778880123,6564.677080387871,0.5432672288765288,7008.575139939785,0.6700441171159076,5783.664570252101,0.9177773800159416,1.6380494069342266,1.0540499523347842,1.534301221508549,1.1246515633419156,1.8592477602440463,1.2877101146277854,99.70076850695015
30k_ifelse,2485.816615197109,6.899281799777439,2440.6209426524583,5.773027307437609,4511.934844253119,9.993037768160328,318.6329665768426,0.07330536748834246,1.0185181040426263,8.99599542269562,0.5509424894207658,12.14334769281597,7.801504790615008,6.899671226199319,99.99667925281256
30k_methods,6067.239051398176,3.0817630669566003,5867.862708078554,0.9388355237199287,7177.628082223237,1.3291915654382451,743.8057962661752,0.02444682340501248,1.03397767692232,3.221595216884986,0.8452986114486553,3.356190372802163,8.15702039679586,3.0818600305712045,99.9984608291041
cfunc_itself,85.91097420690083,0.20923213950552802,66.46198977411973,0.0750314036059206,64.13431675864918,0.13444414240447017,39.16644323432799,0.2650329183405262,1.2926331952877301,0.22227865333660649,1.339547664165532,0.2487032682313085,2.193484194949898,0.337669270153736,99.99976308638676
fib,232.44096150052766,0.19097639910972855,60.074274425757146,0.08839830285118765,62.26082162702986,0.053947726335760546,52.21422675111898,0.06295925954920148,3.8692262823380426,0.21044297318724764,3.733342339954215,0.1984498480566726,4.451678708342575,0.20108668125935653,99.99995185730837
getivar,90.42259169165774,0.14712503448438694,91.61465945802762,0.28136423869912525,89.43689385183765,0.2003060758483715,35.563945428889205,0.27978297780141936,0.9869882421282589,0.31750844176300314,1.0110211546641257,0.24853229124965956,2.5425354414756782,0.3161080360248084,98.93437199223109
keyword_args,237.4834469688887,0.05732042670551334,185.54584727707234,0.07359329536660443,203.6199225578457,0.051990328600248985,46.47560093805871,0.6427697883434578,1.2799178771932247,0.09328239083888454,1.1663075203332465,0.07738621056534552,5.109852098209543,0.6453205653973811,99.99991262854927
respond_to,223.0969039044639,0.1959781470787077,200.5181422731442,0.4056508293076299,198.02417669647423,0.09168239486504622,155.30907198093658,1.0420154034399454,1.11260208864574,0.45051085386522205,1.1266144751932003,0.21636334176702354,1.436470523317839,1.0602846481669512,99.99982478791308
setivar,63.68091438651459,0.7507330044738211,71.66772306931817,0.11562595850856108,63.38610191085224,0.8637137273052499,42.46588824433762,0.04549881598287073,0.888557800628344,0.75958502242166,1.004651058619711,1.1443781921820328,1.4995780618107233,0.7521104880681649,98.31106497948942
