bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,150.05401562478752,1.4466426071580247,155.12211570524056,0.9821992891781397,111.50667629451218,1.9574889272491371,0.9673283202887503,1.7485680645908552,1.345695348576832,2.4340373319133675,80.2771208675478
jekyll,8428.097428102046,1.728426592282154,8359.374029538594,1.646170682082174,7511.2707428867,2.9000042923797533,1.0082211177919078,2.3869093823300016,1.1220601302494118,3.3760159035065422,76.54500870905464
liquid-render,187.78983425809858,1.6433015156557977,168.09299246220073,2.5857831662772677,146.49293616626736,2.380428571618067,1.1171782446572072,3.063774543656817,1.2819036819970613,2.8925559728261567,67.40976053312832
mail,153.47975441642726,1.2120040044245277,150.94596546211997,1.295215566071336,149.81240524751385,1.8474032249543244,1.0167860661035233,1.7738480964655856,1.024479609434575,2.209491430694568,88.23325857355151
psych-load,2221.8202934833243,0.3003714411205174,1995.2158433850855,2.152209216165183,1655.3884720196947,0.488803389340323,1.1135739027181046,2.1730686857039676,1.342174559650365,0.5737174880299569,82.01639155766982
railsbench,3106.907734274864,0.9347411307429709,3140.4178196564317,1.4466641162638862,2692.03301188536,1.588941036746464,0.9893294181519982,1.7223756985014098,1.1541120486107812,1.843495212838801,77.59480008285809
binarytrees,385.0904263644701,0.34524056804203745,255.40463200540862,0.22098458542544727,295.90955502273323,0.405164733764666,1.5077660234302843,0.40990881524754447,1.301378816019934,0.5323058437670786,84.26572615094078
fannkuchredux,5551.497612590902,0.12255025054011735,3969.2695826059207,0.7852859198268923,5500.814677611925,0.1248102966145998,1.3986194429621508,0.7947908780212655,1.0092137143222175,0.17491762074893974,0.016832831499504534
lee,1119.936211151071,1.029747117619062,873.3690317111233,1.4145157755042495,801.3524726033211,1.6768380217255314,1.2823172914167427,1.7496382498662846,1.3975575660392983,1.9677817148629977,99.92267230701998
nbody,111.18584105827134,0.03442277139058075,57.83439551296672,1.224553702753935,72.52498302885324,0.0680943808922909,1.9224864385993796,1.2250374272317481,1.5330695219058144,0.07630053669085544,99.9997299397616
optcarrot,5286.842997884378,0.26473084730551016,2681.8750710925087,0.2722536069346746,3148.60306691844,0.21060906009235708,1.971323368068256,0.3797426075699613,1.679107491646652,0.33828774395191946,96.40019454369612
30k_ifelse,2382.8741216799244,0.6929453521311653,2362.9064064705744,1.0006958787413396,339.9001022335142,0.35625189618411546,1.008450489259613,1.2171957536773148,7.010513106709424,0.7791589533432586,99.98612789963437
30k_methods,5930.045270989649,0.023901112668580894,6396.872821380384,1.4936711603524275,715.4751777286745,0.030673530387190794,0.9270225368823265,1.4938623760090364,8.288261361931506,0.038886098457033655,99.99648257534763
cfunc_itself,90.6349760866437,0.23381721494402713,57.280238953380454,0.16499207304848437,41.05039098676076,0.41438561301752624,1.5823079257824009,0.28616931032697723,2.207895562209738,0.47580030084069136,99.99972376095401
fib,206.4551495138727,0.03402068800484443,62.77701904269824,0.048659708093509904,57.21156093333026,0.02697300553103981,3.2887058458996075,0.05937317916423677,3.6086264060241056,0.043416013632074396,99.99993416418417
getivar,95.30881277401932,0.09686152315409866,97.29431958260889,0.10573926339944205,36.26885018231916,0.06919275748468061,0.9795927776965051,0.1433978608347718,2.627842137120789,0.11903693694003477,86.91694911134245
respond_to,236.10876884000996,0.4357698895162395,201.30984735312975,0.35426700731449995,163.51056168375092,0.25848870275910013,1.1728624900591043,0.5616052965211132,1.4439970507634405,0.5066673524740646,99.99978115010548
setivar,66.58007610506054,0.0533608533532263,72.94984281607816,0.07505639019909618,43.6551679179559,0.09818550292322806,0.9126829275413638,0.09209148918495946,1.5251361815899773,0.11174870762058839,88.70952169444
