bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,161.76196153348707,0.40357727560073786,102.77368286474834,0.693792341689235,1.5739628767256317,0.8026346807657554,90.51352762859257
hexapdf,3246.5689052662733,0.8392323806578136,2236.9192805344937,2.1739621601020738,1.4513572007348123,2.3303266857460687,87.89124524361725
liquid-render,202.08350081092624,2.9185219393218573,127.9989682741728,1.0304440813115587,1.5787900756986177,3.0950905180645423,86.94326100519275
mail,170.6664676266217,0.1486745267344917,157.78002734979844,0.17208757922806908,1.0816734569848567,0.22741646779488514,98.43015610722979
psych-load,2483.0514345987467,0.027392094796696645,1869.4938735997614,0.03804519013287752,1.3281944753408383,0.04688030876176069,99.98736813371727
railsbench,2778.2964309337935,0.5325732211302424,2020.9795310016489,1.4760065477087565,1.3747276448449723,1.5691493124442186,90.09219928600811
ruby-lsp,81.9034625596761,8.205610666711092,71.70418509467511,18.193448432821363,1.1422410344882143,19.95829682842133,64.62532023183309
binarytrees,459.61879415474306,0.10742068806916036,238.2164601786783,0.06235762175285584,1.9294166062664109,0.12420820108158756,99.99995300653923
chunky_png,938.674830898041,0.027280744599138127,611.5658858000339,0.1918178799076695,1.5348711442105571,0.19374813051525563,99.99565354455825
erubi,338.50037157098996,0.735344826348114,285.4784383135016,0.9214611761331106,1.1857300802495692,1.178907423319386,99.99967390176448
erubi_rails,25.433617225638017,2.69170090899731,17.90354578918041,3.6164982232570866,1.420591067553123,4.508249458749882,87.10100855456518
etanni,479.2375875948069,0.6314157836721714,474.37897490453906,0.4939492360264741,1.0102420489678017,0.8016680981812111,7.027926485547646
fannkuchredux,5259.93795353279,0.0463972552857225,2273.9395959341587,0.10560348247752674,2.313138819930681,0.11534643821735373,99.99999817670138
lee,1254.6221888200803,1.3926719170627389,901.5671051820391,1.9600851275060067,1.3916015586734993,2.404468501695425,99.96902262188334
nbody,129.24395539374117,0.14021209170595675,78.874127109827,0.06719708127763349,1.6386102785489787,0.15548272699175464,99.99989090114438
optcarrot,6458.86957940141,0.43931536180175124,2903.0585087331324,0.38704937301959097,2.2248499504820525,0.5854956910771095,96.70402769522266
rubykon,12825.538150534461,0.39387178194235456,6585.944438866379,0.45399216840079354,1.9474106211473121,0.6010356641495579,99.8920616547892
30k_ifelse,2377.773693219351,0.023301341041165147,402.4142053205287,0.14047967033051179,5.908771762481447,0.14239905291288268,99.99997907804914
30k_methods,6412.762365700473,0.010426586889400036,953.9771242481947,0.02693593680591246,6.722134318214611,0.028883531739978027,99.99998351516876
cfunc_itself,104.00815475645447,0.07400282076110687,41.37931610534477,0.1384262187558778,2.513530056699517,0.15696571447182547,99.99981805049238
fib,245.82408790052284,0.05745661675751472,60.83727320551547,0.07215441261091199,4.040682215820228,0.09223622969552504,99.99996295453063
getivar,112.58237960946965,0.4147870426684637,45.61648847261334,0.06549763212135881,2.4680194240961897,0.41992645853667615,99.99994794691243
keyword_args,284.26188631556215,0.06497667638285826,52.72363385953819,0.04276465930346105,5.391545792781819,0.07778678910395896,99.99993366684049
respond_to,266.58758489535086,0.2840680479912066,30.47756557849294,0.6048847852552162,8.747010459505773,0.6682666079662992,99.99987905933295
setivar,84.13385260508043,0.5269241808998636,47.78526074174229,0.5587191681240194,1.7606653453203036,0.7679949226695373,99.99987849031898
str_concat,80.88800284471664,0.8529988231643887,40.58318849676262,1.8707240833999679,1.9931406535780005,2.0560193550967565,99.97888102975459
