bench,No JIT (ms),No JIT RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,152.250150768239,1.431613512914308,155.83188179489068,1.017386990525993,110.62495787464606,1.9220682512447198,0.97701541568133,1.7563010957265792,1.3762730733941635,2.3966358949164097,80.27769401678712
jekyll,8398.225034005009,2.4844562073043526,8332.461110595614,1.4666947924868223,7535.76818248257,3.016676770498101,1.0078924968909568,2.8850851391806605,1.1144484318834649,3.9080508420024396,76.54498785276778
liquid-render,190.93150158265703,2.3806761538079257,164.38589887987186,2.7499491013836015,148.3662309870124,3.2676067466121927,1.161483453773513,3.637284565374309,1.286893252679383,4.042879270991804,67.40978334274722
mail,154.63231692575857,1.3154095194221211,150.06128123514657,2.066682206871092,145.6321413247428,1.5201938464372682,1.0304611266343193,2.449791327436666,1.0618007502955438,2.010296379773906,88.22180795814688
psych-load,2176.467135618441,0.4026313126017736,1851.1973425280303,0.8434277912092981,1698.7598006147891,0.26910075996731037,1.1757077895575498,0.9346028102202681,1.2812094651820505,0.48428007692079506,82.01638052180431
railsbench,3144.661424565129,1.6315434048899735,3109.330742410384,1.8452404176279786,2650.8287996519357,1.359125867688796,1.0113627931801672,2.463096847646849,1.186293669730024,2.1234775737597964,77.59476902970202
binarytrees,384.30500009941846,0.34024811324402787,253.36903173381975,0.4591884356992471,295.2121858292356,0.3386038844374236,1.516779684832025,0.5715092283122316,1.301792468423774,0.4800222589862192,84.26572602524246
fannkuchredux,5500.9604236111045,0.08562105936785042,3954.301152797416,0.10955329944015132,5536.00328520406,0.02916585064085159,1.3911334041211114,0.1390427676130493,0.9936700070813517,0.09045226725117192,0.016832831499504534
lee,1128.5242126323283,1.153130593149283,874.9620790879887,1.8040602769463232,804.3824822797129,1.7196204230000967,1.2897978547923339,2.1411080420456274,1.402969653732339,2.070459988518457,99.92261931491322
nbody,109.30972263577658,0.027783194135945374,57.76361992239412,1.091405694555065,72.50083574440498,0.052727307949971165,1.8923627498178794,1.091759266497711,1.5077029321584365,0.059599285902154256,99.9997299397616
optcarrot,5315.6443485291675,0.2899998887650998,2682.6930447947234,0.25398625323643936,3150.047828583047,0.33812197144849326,1.981458280828366,0.38549831687940606,1.6874805202307828,0.44545078635017127,96.40019454369612
30k_ifelse,2223.852175520733,0.7173503789703636,2352.765417052433,1.018304249826009,325.5085604740124,0.22658737162793177,0.9452077794932894,1.245606322809352,6.831931462208897,0.7522854532623762,99.9861305621456
30k_methods,5996.984550333582,1.4264830982710477,5942.695244541392,1.1586169960957473,706.0109422983307,0.1487569742134528,1.0091354685976968,1.837728862834477,8.494180742880761,1.4342184865040992,99.99648257534763
cfunc_itself,90.28261634059918,0.21344418103053175,57.25509312882821,0.17702922775089958,40.64184549086847,0.2740066431444434,1.5768486506074944,0.2773044642516133,2.2214201951258374,0.3473298992356989,99.99972496277496
fib,205.78072916991502,0.06907168894507353,62.56860521525241,0.043883767075656166,57.25839879254208,0.05756568559452046,3.2888815159292,0.08183326479174247,3.5938959787453575,0.08991499525491937,99.99993416418417
getivar,95.31013721600175,0.07989658669780772,90.61049579166017,0.15435338935600412,36.288644767240875,0.07216169254994395,1.0518664133032383,0.17380573457641296,2.6264452097158997,0.10766045902573954,86.63359264804205
respond_to,229.0485059388746,0.12009834396062655,207.26011350119336,0.8050556614478531,163.0801357951147,0.1630450527123922,1.105125834728233,0.8139645141228979,1.4045150552648489,0.2025025961218071,99.99978203457289
setivar,66.17869883410175,0.05008489020281303,73.24176381878328,0.30657556821092224,44.2188113372875,0.12401810170039164,0.9035650615657325,0.3106397837535908,1.4966186750093977,0.13374971318098788,88.70952169444
