bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,150.85753528647336,1.5821374969776505,155.2667877707286,0.9521633653397179,110.7876622969045,1.9662759989209384,0.9716020885885392,1.846557373502855,1.3616817266365269,2.5237670976687285,79.08948048064849
jekyll,8377.50501590781,2.317309099755028,8310.655333916657,1.653558799288776,7641.017858986743,2.682430058977131,1.0080438520556052,2.8467838285533373,1.0963860012517666,3.544764094423141,66.84841322260172
liquid-render,185.92396407739773,1.0193603051106908,162.8096205299819,2.4755083554334987,150.80564411648558,1.830095981834029,1.1419716075264683,2.677169596692826,1.2328713899712267,2.094838116504571,66.65944376330202
psych-load,2148.1872398173437,0.4709572783375782,1955.255487805698,1.8064463396276262,1832.0299946237355,0.5064172817266793,1.098673423097339,1.8668286305853539,1.1725720900429586,0.6915628830775825,63.86184605081823
railsbench,3183.7420273921452,0.9602048856765437,3125.0957375974394,0.99092480837291,2677.1239531226456,1.4323532182438579,1.0187662378112592,1.3798280321569034,1.1892396777812888,1.7244213998587006,74.43921416501466
binarytrees,368.05546302865775,0.4228918931708819,254.226669836182,0.28048242599438455,297.0401310032747,0.6371344199170494,1.4477452867782301,0.5074524062425441,1.2390765577214216,0.7647076711742126,82.94822157165214
fannkuchredux,5617.313930916134,0.08171889593725173,3952.1266494179145,0.030833504110003306,5497.694546810817,0.08175774264364209,1.4213395544253309,0.08734233182658321,1.0217580993426978,0.11559544296981343,4.083699098306951e-06
lee,1119.062430295162,1.1527374608871106,873.4218813031196,1.2541061347238491,801.9172289408743,1.6211197899812018,1.281239289111413,1.703404194806522,1.3954837106731757,1.9891789831991384,99.80333746925989
nbody,116.91598503212272,0.14494469719075073,69.80792640566813,0.42071421073567217,114.29760495666414,0.043709000413212275,1.674823921179094,0.44498248545157143,1.0229084421887171,0.1513916839223364,7.401731760035832
optcarrot,5475.451755186077,0.5491349146675107,2690.383588615805,0.17546794510773736,3131.8565902183764,0.19186397556772136,2.0351937093116086,0.5764877746034397,1.74830858229185,0.5816880088393996,96.1591551261472
30k_ifelse,2227.144598006271,0.7164867185122458,2203.017583512701,1.161394667440946,324.06847229308016,0.16548849275722294,1.0109518029606914,1.3646211164146302,6.872450696135883,0.7353500248449737,99.98460579114881
30k_methods,6065.172159217764,3.035934292936893,5964.0912564704195,0.1661058085177104,723.2231811697906,0.018201925376714598,1.0169482488447308,3.0404749909600564,8.386307736164568,3.0359888572123666,99.99645530612948
cfunc_itself,89.85894162835282,0.17676638028131297,57.28388862986085,0.1585808672479578,41.02678234600287,0.3098559115636404,1.5686599457131007,0.23747472424422805,2.1902507701071894,0.35673104592773014,99.99972454288785
fib,208.30993759766992,0.08515436038671632,62.692726054456365,0.041519094822732666,58.32036070290718,0.12502244704480436,3.322713027612279,0.09473700611571927,3.5718218318098636,0.1512675687579518,99.99992503288816
getivar,90.50760364934573,0.10028546404302649,90.69718598935452,0.1390151646638127,36.26217086652438,0.03737313351895018,0.9979097219176012,0.17141292338920108,2.495923478560913,0.10702301344734427,86.56708100044824
respond_to,238.84090780425262,0.21928236829304495,199.9255124686493,0.3270612109194112,155.3113866712851,0.498673993597855,1.1946494714710596,0.39376870461259134,1.5378196854925832,0.5447572936042621,99.99978141305748
setivar,70.60996093574816,0.027334841362874188,74.40334172967937,0.26098496425705014,41.80952395311483,0.27173122515426235,0.9490159889899403,0.2624125475669699,1.6888487181755556,0.2731026405514416,88.60742758935312
