bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,MJIT3.1 (ms),MJIT3.1 RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,MJIT3.1 spd,MJIT3.1 spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,144.41794476338796,0.6738224117209571,160.31916146831853,0.4668743349866344,176.33279248401917,3.3250223287766856,105.08054758978899,0.42448935018931977,0.9008152452938517,0.8197611159396736,0.8190078698860077,3.3926111078932966,1.3743547029005159,0.7963842357565837,81.84079139493082
hexapdf,2795.814041172465,1.1016602457757088,2545.9735629459224,1.915164002510693,,,2185.05439174672,0.996610945941924,1.0981316074380028,2.2094135994954347,,,1.2795169089303573,1.4855600542199066,74.80635410891638
jekyll,8416.371604427695,1.1877508489663573,8007.489521553119,2.6438286973950538,8272.382021819552,3.849317679921592,7359.453807274501,2.374548259318399,1.0510624561885495,2.898375796957656,1.01740606057945,4.028399021966077,1.1436136192754518,2.655038891438757,82.34389988502208
liquid-render,171.60460886638066,1.3045913026078788,158.44959861528108,2.2822054066242927,158.48126705757707,5.237640537771785,115.31761270125358,1.8529444774014225,1.0830233106682727,2.6287677692913984,1.0828068960606922,5.39766957767428,1.4881040705459836,2.2661336463616952,84.86951005753103
mail,160.4056695757581,0.2553991785307541,150.46046016295608,0.25585831278423055,158.22316978207166,1.484288479036537,142.093033362314,0.17997323871868812,1.0660984912715996,0.36151378482013263,1.0137938065372631,1.5061012679746273,1.128877790698928,0.31244056562661304,98.31499626207683
psych-load,2247.2478419542313,1.0850798160937123,1956.5373077988625,0.8146942393916048,1858.7222049633663,0.15249949953758413,1621.9296137491863,0.24334184721614674,1.148584201791901,1.3568805809620204,1.2090283507419133,1.0957437221600579,1.3855396824277626,1.1120312324303356,82.02597335351005
railsbench,2689.480329553286,1.0785611395754446,2879.3848824997744,0.9543992989943372,3122.35169634223,1.151794153091286,2093.5295714686313,1.4645031650079416,0.9340468326757275,1.44019865078508,0.861363674279216,1.5779492713321157,1.2846631670297304,1.8188083054903177,81.70865182999441
binarytrees,379.3018059170043,0.07970820811191144,227.25514386018568,4.823923573330971,240.86175848391247,0.3690537256054295,289.04615353200245,0.09430454189786243,1.669057075998959,4.824582058559959,1.5747697280983626,0.37756330704089797,1.3122534283266598,0.12347771079420558,84.26576593955315
erubi,411.9244212759476,1.1242905540627914,401.07521484149436,2.3764085021843986,377.9215960599044,1.0439882787386516,412.28211879291956,0.757735852847737,1.0270503038656749,2.6289440121860936,1.08997322611501,1.5342557727114836,0.9991323962387231,1.3557997170104832,5.62364142394756
erubi_rails,37.619443952304415,8.677737364485985,49.49845208129922,4.859060875833442,41.083230951526126,8.526869096514474,33.514338441681666,3.872920116829133,0.7600125331296419,9.945531577650911,0.9156885444742987,12.165961628909148,1.1224880365090915,9.502769911890741,82.8591668911521
fannkuchredux,5829.526852195461,0.1444989053034573,3958.085884526372,0.8908612378684839,5887.168973808487,0.11489082509025533,5783.91701815029,0.11426919314729721,1.4728146438118606,0.9025041156529232,0.9902088555858563,0.18460724613031085,1.0078856307761757,0.18422101437249727,0.011082056285937888
lee,1021.7812889470504,1.0109994471083084,920.506013987156,0.8727725523014397,826.9612931001645,1.2421939689241874,769.1243292333988,0.062445853012572015,1.1100213072169103,1.3356091531971748,1.2355853864895325,1.601613479740018,1.3284995027598199,1.0129261407485606,99.93118930549852
nbody,104.12972559598053,0.06239082677719202,60.53644221919101,0.5712251190032632,58.11091035693174,0.02848667010905279,72.21894697951419,0.06903665339071217,1.7201163758343525,0.5746222688394819,1.7919135142848344,0.06858648292370431,1.4418615882826185,0.0930520003940319,99.99984076839061
optcarrot,5402.938092003266,0.4337433494197377,2201.9003381331763,0.6073703242864531,2161.4026363939047,0.6561290603035362,3061.2025993565717,0.5771818872791162,2.4537614161883488,0.746345767047475,2.499736976826102,0.7865358459349797,1.7649723978213332,0.7219918449462812,96.12952232767728
rubykon,10591.120594615737,0.30497640500027384,6446.627842883269,0.6223732411013821,6751.593745375673,0.45820704863741496,5527.472234765689,0.3880653217232957,1.6428931299807799,0.6930794029878036,1.568684520135686,0.5504219354530682,1.9160875251442484,0.4935638778629329,99.70944663391708
30k_ifelse,2311.9650487938234,0.17335128434031577,2173.5571541132467,0.16721293677765683,3771.0743337689387,4.863527457575351,306.8602932016215,0.07141854372628642,1.063678056230844,0.24085438341090176,0.613078620087334,4.866615867147499,7.534259400823666,0.18748673598529705,99.99659885566153
30k_methods,5902.714681238509,0.04157288595227432,5784.871700434731,0.027761295616841795,6712.350217625499,0.04215237989630223,742.119825588396,0.02326289513964358,1.0203708892618868,0.04998994279579131,0.8793812137124455,0.05920412128663841,7.953856611442083,0.04763892459616254,99.99846058018159
cfunc_itself,95.22958707962583,0.1545595702364214,59.363070569873564,0.14397230111870932,63.81970945112555,0.13018305708373595,38.9816688314787,0.2522216692549694,1.6041890381585875,0.21122661821153976,1.4921657885728017,0.20207990771804735,2.4429325355800438,0.29581147914411715,99.99976309953169
fib,210.4322677842942,0.05276870373927217,60.12984867117735,0.01764933124600662,62.432182471294624,0.03513424112742755,52.05821043108991,0.01518059253604933,3.499630756349514,0.05564202537430088,3.3705736281291747,0.06339519693102387,4.042249359740207,0.0549088925773288,99.99995185730837
getivar,89.11112926940159,0.04950304256421315,96.3024620225262,0.28613107376859404,92.25660217163613,0.11552778623451905,35.5468542179179,0.2889330190402268,0.9253255565632115,0.29038171877561936,0.9659051728744287,0.1256869946150477,2.5068640032986056,0.2931430379777325,98.93437199223109
keyword_args,240.3227672567246,0.032048263523305094,184.26120455842465,0.05074082336770023,189.45841956021334,0.06332454086709825,46.407160569085846,0.08478025324717657,1.304250495011413,0.06001435120778498,1.2684723530080206,0.07097245008373322,5.178570813419163,0.09063543752591809,99.99991256244009
respond_to,232.33733246572146,0.31265213005510906,187.4107883119856,0.3658203583401825,192.453803181762,0.47187396179715047,151.56315845785704,0.28065636253271,1.2397222943160877,0.48122332549881286,1.207236898541785,0.5660533457635732,1.5329406884214816,0.42014205723551257,99.99982507770228
setivar,64.50107054784894,0.14149976225761954,68.12898521125317,0.11273630549476182,64.61480553820729,0.1610000184247591,39.17810798063874,0.32831801064383265,0.9467493218612482,0.18091892464739864,0.9982397998506535,0.21434362283897232,1.6463549127927373,0.3575120960640167,98.38259598318065
