bench,No JIT (ms),No JIT RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,154.09122712832564,1.3735756140521407,157.79151202728733,0.6252506083469335,110.08729222555493,1.8719145529837573,0.9765495313948079,1.5091879573985891,1.399718568902687,2.321804053142964,80.67142290720717
jekyll,8385.11557248421,1.8466679958639767,8352.74803652428,2.001457494291053,7465.277239307761,1.941998609471418,1.0038750763004456,2.723236087525666,1.1232155623548876,2.679839787400955,76.61627572025496
liquid-render,186.5254666048045,2.0405667153010887,164.58343444641545,2.3613863191763462,145.91743032360682,2.548494888757401,1.1333185945000612,3.1209065779013456,1.2782946231381656,3.264772383737842,67.40979758380338
mail,152.3339079292722,1.4214417924693,150.50634962120435,1.4200657310544353,137.76303434537516,1.6668075233680621,1.0121427322678906,2.0092494742797626,1.1057676585967722,2.1906035901857526,98.27373665402762
psych-load,2144.4380085915327,0.5897271367057414,1939.395755296573,1.8650703796217605,1681.1641734093428,0.6548052232056131,1.1057248128624497,1.9560842560354115,1.2755672780265634,0.881219595846861,82.02172937019759
railsbench,3087.204085709527,1.0844305198403499,3112.6917933113873,0.9883830759123403,2633.166589960456,1.4319677016614114,0.991811682847422,1.4672732046592927,1.1724302205109969,1.7962519452912713,78.79453423436861
binarytrees,385.66806905769874,0.3733415522164476,253.38637711399275,0.32443747796240313,296.4445529987329,0.3409875033029316,1.5220552637847435,0.4946145890670748,1.3009787670456783,0.505624754160784,84.2657262766391
fannkuchredux,5391.129448451102,0.04008061126477969,3964.2303077038378,0.05060387786025529,5389.300660602748,0.027377902134415603,1.3599435527179935,0.06455391431860674,1.000339336764364,0.048538695127084155,0.01152631012187917
lee,1106.5857452806085,1.1670776922705248,880.881366176674,1.0078837929335958,801.2361598084681,1.6776262802152428,1.2562256255726791,1.5420441238348872,1.3810981091331835,2.043648765288284,99.92274779361568
nbody,112.03879080216825,0.05675256126705052,57.724814188140485,1.1920727302030991,72.71837935558891,0.052886628880055145,1.9409121082140535,1.1934229121749929,1.5407217789371332,0.07757479439010462,99.99972827618156
optcarrot,5262.561115063727,0.9472032597062909,2666.8864984996617,0.2922565825407781,3117.9417747072875,0.15832969716889136,1.973297745526231,0.991265819665259,1.687831747774628,0.96034489023674,96.40019451184068
30k_ifelse,2382.50136221759,1.151708031043199,2232.5970419682562,1.2376784501374616,331.05797769501805,0.21955373248362023,1.0671434734667473,1.69064465063007,7.1966287561039595,1.1724483912807813,99.9861305621456
30k_methods,6351.926927175373,0.04577230139241649,5978.76965906471,0.03535925173018503,750.6947139113703,0.0436786621206346,1.0624137221183794,0.057839262250454104,8.461398234816002,0.06326870552972277,99.99648257534763
cfunc_itself,89.25889593570732,0.1547867438531258,57.225337291856164,0.1681342330010652,42.30533162892251,0.3614293379815053,1.559779289381487,0.22853458464641552,2.1098734485438824,0.3931794786435355,99.99972570463976
fib,197.0626339164522,0.045788342703661715,62.64805295034418,0.034634549134749726,52.032921478152275,0.02178462805601324,3.1455508134091112,0.05741188310197954,3.787268297037586,0.050706432995102406,99.99993416418417
getivar,87.70149386781331,0.15557371105399848,90.7722360948851,0.16233677409608796,36.269043706927896,0.03152003665736423,0.9661709090887448,0.22484752121168092,2.418081231379726,0.15873465998953912,86.63359264804205
respond_to,240.54265498636744,0.10881887738011432,199.54996937783537,0.269764624450852,170.23648428127032,0.4439061146191149,1.2054256672468588,0.29088571755824927,1.4129912045700788,0.45704943569651973,99.99978115010548
setivar,68.02934888606025,0.09048606528123866,72.91169835184262,0.11702999896800784,41.2647559961423,0.14703787775340815,0.933037501852966,0.14793156751867567,1.6486065952363824,0.17264954533478152,88.39763484880551
