bench,samples,iter #1,iter #5,iter #10,iter #50,iter #100,iter #200,RSD #1,RSD #5,RSD #10,RSD #50,RSD #100,RSD #200
lee,24,17920.65178895852,1576.7403292082538,1109.9853062084246,1308.095605832932,519.9382239579791,358.8970920839832,4.798843003138024,42.24968238325859,28.376785628939608,37.35085371167431,42.33771283214715,48.16578395230899
30k_ifelse,25,89563.37112979949,31984.056810480106,29828.15114276018,6929.437177960208,4557.448218558711,2788.967215359735,0.3320429085018854,0.4819128839941316,6.954133415734002,34.50320828698587,38.252365158394966,14.234488315167358
psych-load,7,78787.86610471226,13336.202983142617,9542.874256286139,9720.726447571777,12794.640360573665,9633.839550855295,2.4075585538932307,0.8149682494596185,0.7420998363917963,0.5801199347480244,0.7409803170309373,0.4932043828602117
